GWG,Veillonella,Enterococcus,Bifidobacterium,Escherichia/Shigella,Bacteroides,Streptococcus,Prevotella,Klebsiella,Enterobacter,Staphylococcus,Megamonas,Sutterella,Parabacteroides,Alloprevotella,Dialister,Barnesiella,Lactobacillus,Roseburia,Clostridium_sensu_stricto,Alistipes,Faecalibacterium,Clostridium_XlVa,Citrobacter,Flavonifractor,Akkermansia,Lachnospiracea_incertae_sedis,Mitsuokella,Butyricimonas,Brevundimonas,Sphingomonas,Rothia,Fusicatenibacter,Blautia,Gemmiger,Oscillibacter,Kluyvera,Salmonella,Haemophilus,Proteus,Ruminococcus,Bacillus,Odoribacter,Dorea
1,0.006220212,0.259620804,0.033550183,0.0026996,0.091368934,0.13659419,0.117954427,0.000187859,0.003409289,0.015140024,0.038789355,0.028533658,0.011090624,0.028394503,0.023398852,0.020177422,0.000744477,0.019592973,0.002581318,0.016002783,0.017756132,0.00561489,0.002553488,0.001955123,0.000452253,0.011772482,0.010728822,0.008077927,0.00021569,0.001168899,6.96E-06,0.005253087,0.004710384,0.00616455,0.004905201,0.000313098,6.26E-05,0.001475039,1.39E-05,0.001182814,0.000480083,0.000939294,0.000869716
1,0.003351063,0.640435413,0.004205697,0.001439383,0.058452439,0.013078143,0.083877787,0.000359846,0.000292375,0.010806617,0.017137652,0.016170567,0.007601741,0.016114341,0.011020275,0.012470903,0.00062973,0.010502997,0.001439383,0.010008209,0.008535091,0.002665107,0.000202413,0.001124518,0.000775917,0.00534146,0.004767956,0.006634655,0.000112452,0.000910859,0.000191168,0.002642617,0.001754248,0.003036198,0.002473939,6.75E-05,0,0.001147008,1.12E-05,0.00060724,0.000472298,0.000449807,0.000528523
1,0.009583698,0.001136633,0.143534684,0.004579241,0.146535722,0.012805521,0.181141703,0.001022152,0.000850431,0.019142864,0.053593478,0.042456109,0.019600788,0.03939783,0.035767146,0.031735778,0.000457924,0.026927574,0.003058279,0.025063169,0.025774587,0.007850128,0.000343443,0.00367157,0.001054861,0.01377861,0.016092762,0.014081167,0.000261671,0.002346861,0.000155367,0.009264786,0.005446026,0.008005495,0.008103622,0.000228962,4.09E-05,0.002600355,8.18E-06,0.001480076,0.00029438,0.001218405,0.001063038
1,0.000806284,0.001736967,0.001331521,0.000405446,0.012868299,0.906595406,0.020525697,0.000382409,0.000271833,0.000704923,0.004146606,0.003492363,0.001465134,0.004160428,0.002690686,0.003501578,0.000921468,0.002828906,0.001239374,0.002188486,0.002160842,0.000520629,5.99E-05,0.000414661,4.15E-05,0.00173236,0.001377595,0.001515815,0.000234974,0.000580525,1.84E-05,0.000566703,0.000428483,0.000741782,0.000645028,3.23E-05,5.99E-05,0.00013822,4.61E-06,0.000142828,0.000534451,7.83E-05,9.68E-05
1,0.001640944,4.99E-05,0.00196248,0.000271643,0.02069474,0.000465673,0.034099477,0.740985897,0.001823887,0.000160768,0.009773594,0.00547166,0.002472503,0.007084886,0.005177843,0.005832003,9.98E-05,0.00514458,0.000604266,0.003675492,0.00401366,0.000942434,5.54E-05,0.000537742,0.000249468,0.002882739,0.003098944,0.002766321,0.077362737,0.013670836,0.000105331,0.001258426,0.000864822,0.00139702,0.001153096,2.22E-05,0.001313864,0.00028273,0.000149681,0.000293818,4.43E-05,0.000133049,0.000255012
1,0.008665888,0.036473253,0.112460057,0.003702133,0.118695774,0.027145531,0.155675743,0.010672072,0.000330917,0.06116793,0.04675236,0.035935513,0.014694781,0.032636684,0.031002782,0.02677325,0.000703199,0.023050434,0.003319511,0.021199367,0.024187961,0.00680448,0.000310235,0.002088913,0.000930704,0.015211839,0.014436252,0.011395952,0.000486034,0.005677294,0.000124094,0.008117806,0.005480812,0.006142646,0.006887209,0.000113753,5.17E-05,0.001592538,2.07E-05,0.001685608,0.000382623,0.000858316,0.00134435
1,0.003585985,0.614926029,0.004362854,0.002015357,0.057223761,0.011529195,0.082387579,0.000360287,0.004486703,0.000275845,0.021482132,0.018689905,0.007397149,0.019658177,0.012632574,0.014844964,0.000529172,0.014180684,0.001424261,0.01058907,0.011669932,0.003056813,0.00363665,0.001418631,0.000416582,0.00782499,0.007290189,0.007025603,0.000101331,0.000928866,0,0.003512801,0.002386904,0.002966741,0.002916076,0.000450359,3.94E-05,0.000973902,6.19E-05,0.000636132,0.000287104,0.000523543,0.000675539
1,0.000972015,0.001309085,0.00120718,0.000274359,0.013231951,0.0936819,0.02237987,0.780457788,0.002900368,0.00013326,0.006067257,0.003527475,0.001669672,0.004695461,0.003535314,0.004381908,0.000211649,0.003770479,0.000666301,0.002673042,0.002970918,0.000783883,0.000101905,0.00047033,0.000227326,0.00167751,0.002414361,0.002038097,5.49E-05,0.000290037,2.35E-05,0.000917144,0.000783883,0.00101121,0.001105276,2.35E-05,0.001293408,0.000243004,0.00026652,0.000180293,8.62E-05,0.000164616,0.00013326
1,0.003015114,0.678238869,0.003680912,0.001407687,0.048888593,0.003005602,0.075197124,0.000399479,0.000256808,0.002472964,0.016492767,0.015865014,0.006772116,0.015551138,0.010091595,0.014457327,0.000456547,0.010719347,0.001265016,0.010072572,0.0091785,0.002568078,0.000123648,0.001236482,0.000637264,0.005763908,0.005288338,0.006201432,0.000218762,0.000932117,0.000684821,0.003642866,0.001854723,0.002977068,0.002197133,5.71E-05,9.51E-06,0.002063974,9.51E-06,0.000485081,0.000332899,0.000370945,0.000399479
1,0.008196893,0.24346761,0.010918722,0.003517441,0.128972824,0.008636573,0.157646246,0.000607177,0.000795612,0.001517943,0.049966501,0.04042963,0.017513923,0.037812487,0.029238725,0.028830451,0.000544366,0.023742724,0.002941669,0.023973033,0.020727775,0.006071773,0.00021984,0.002093715,0.001109669,0.014446631,0.014247728,0.012677442,0.000523429,0.001936686,0.000785143,0.006595201,0.004878355,0.008196893,0.006197395,0.000230309,6.28E-05,0.002805578,0,0.001277166,0.000376869,0.00102592,0.000994514
